rowNumber,sourceGroup,provider,dataset,file,bytes,coverage,confidence,theme,roiScore,duplicateGroupSize,recommendedAction,recommendedPlacement,needsUserDecision,iaItem,rawViewport,cleanedBundle,evidence,url,raw
59,data.gov.ie,"Department of Climate, Energy and the Environment",estuary1,shapefile,1882510,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\estuary1\shapefile"
60,data.gov.ie,"Department of Climate, Energy and the Environment",estuary3,shapefile,1910904,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\estuary3\shapefile"
61,data.gov.ie,"Department of Climate, Energy and the Environment",exclusive-economic-zone2,shapefile,23685,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\exclusive-economic-zone2\shapefile"
62,data.gov.ie,"Department of Climate, Energy and the Environment",exclusive-economic-zone3,shapefile,27110,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\exclusive-economic-zone3\shapefile"
63,data.gov.ie,"Department of Climate, Energy and the Environment",exploration-well2,shapefile,61677,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\exploration-well2\shapefile"
64,data.gov.ie,"Department of Climate, Energy and the Environment",ferry-port1,shapefile,6319,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\ferry-port1\shapefile"
65,data.gov.ie,"Department of Climate, Energy and the Environment",fishing-port3,shapefile,55497,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\fishing-port3\shapefile"
66,data.gov.ie,"Department of Climate, Energy and the Environment",frequently-used-routes-300-gross-tonnes-and-above,shapefile,25937,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\frequently-used-routes-300-gross-tonnes-and-above\shapefile"
67,data.gov.ie,"Department of Climate, Energy and the Environment",grey-seal-distribution1,shapefile,25198,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\grey-seal-distribution1\shapefile"
68,data.gov.ie,"Department of Climate, Energy and the Environment",harbour-limits,shapefile,171164,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\harbour-limits\shapefile"
69,data.gov.ie,"Department of Climate, Energy and the Environment",harbour-seal-distribution1,shapefile,23178,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\harbour-seal-distribution1\shapefile"
70,data.gov.ie,"Department of Climate, Energy and the Environment",haulbowline-naval-base1,shapefile,8237,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\haulbowline-naval-base1\shapefile"
71,data.gov.ie,"Department of Climate, Energy and the Environment",historic-coastal-towns1,shapefile,7069,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\historic-coastal-towns1\shapefile"
72,data.gov.ie,"Department of Climate, Energy and the Environment",horse-mackerel-nursery-grounds1,shapefile,2683913,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\horse-mackerel-nursery-grounds1\shapefile"
73,data.gov.ie,"Department of Climate, Energy and the Environment",horse-mackerel-spawning-amp-nursery-grounds,shapefile,5671,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\horse-mackerel-spawning-amp-nursery-grounds\shapefile"
74,data.gov.ie,"Department of Climate, Energy and the Environment",horse-mackerel-spawning-grounds1,shapefile,5251,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\horse-mackerel-spawning-grounds1\shapefile"
75,data.gov.ie,"Department of Climate, Energy and the Environment",irish-water-0-80m-dept,shapefile,8599869,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\irish-water-0-80m-dept\shapefile"
76,data.gov.ie,"Department of Climate, Energy and the Environment",lakes-ireland1,shapefile,10422215,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\lakes-ireland1\shapefile"
77,data.gov.ie,"Department of Climate, Energy and the Environment",lakes-northern-ireland1,shapefile,2839499,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-data-gov-ie-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,,"Department of Climate, Energy and the Environment\lakes-northern-ireland1\shapefile"
